model,period,n,frauds,prevalence,average_precision,roc_auc,precision,recall,alert_rate,precision_at_daily_budget,recall_at_daily_budget,settled_fraud_value_capture,brier_score,seed,scenario
boosting,post_shift,4508,54,0.011978704525288377,0.11370755040250538,0.7050009147000614,0.06172839506172839,0.2777777777777778,0.053904170363797695,0.06550218340611354,0.2777777777777778,0.2832381723802944,0.011821476572238252,33,no_excitation
boosting_static,all_test,5470,74,0.013528336380255941,0.13196002043765892,0.7521186865145353,0.08960573476702509,0.33783783783783783,0.0510054844606947,0.08928571428571429,0.33783783783783783,0.5190487364740255,0.013072112324575664,33,no_excitation
boosting_static,pre_shift,962,20,0.02079002079002079,0.45768503690800044,0.9180997876857749,0.3191489361702128,0.75,0.04885654885654886,0.2830188679245283,0.75,0.9530945542355213,0.014893793619616116,33,no_excitation
boosting_static,post_shift,4508,54,0.011978704525288377,0.05404457039816252,0.6884968151806948,0.04310344827586207,0.18518518518518517,0.05146406388642413,0.04405286343612335,0.18518518518518517,0.2578372125649517,0.012683368445731629,33,no_excitation
boosting_no_network,all_test,5470,74,0.013528336380255941,0.20563511510092,0.7726243663975317,0.11594202898550725,0.43243243243243246,0.05045703839122486,0.12142857142857143,0.4594594594594595,0.5537833067826524,0.012366922966031226,33,no_excitation
boosting_no_network,pre_shift,962,20,0.02079002079002079,0.5825350295034091,0.9536624203821656,0.35555555555555557,0.8,0.04677754677754678,0.3469387755102041,0.85,0.9767144195539056,0.01336782947396891,33,no_excitation
boosting_no_network,post_shift,4508,54,0.011978704525288377,0.09731082729745659,0.7022027640572768,0.06926406926406926,0.2962962962962963,0.05124223602484472,0.0735930735930736,0.3148148148148148,0.2992606827765293,0.012153331115845765,33,no_excitation
isolation_forest,all_test,5470,74,0.013528336380255941,0.0759227819824402,0.7683444192895638,0.06873614190687362,0.4189189189189189,0.08244972577696527,0.09285714285714286,0.35135135135135137,0.4114804703767112,,33,no_excitation
isolation_forest,pre_shift,962,20,0.02079002079002079,0.31992210400889615,0.9456475583864119,0.23636363636363636,0.65,0.057172557172557176,0.26785714285714285,0.75,0.883682059898571,,33,no_excitation
isolation_forest,post_shift,4508,54,0.011978704525288377,0.0487848686973634,0.7013213258161619,0.045454545454545456,0.3333333333333333,0.0878438331854481,0.049107142857142856,0.2037037037037037,0.12730656120874262,,33,no_excitation
behaviour_rule,all_test,5470,74,0.013528336380255941,0.17826484928473754,0.7585824334341754,0.0782312925170068,0.3108108108108108,0.05374771480804388,0.08214285714285714,0.3108108108108108,0.5599175056020835,,33,no_excitation
behaviour_rule,pre_shift,962,20,0.02079002079002079,0.6037851156924352,0.9567409766454351,0.32558139534883723,0.7,0.0446985446985447,0.25,0.7,0.9391029729361208,,33,no_excitation
behaviour_rule,post_shift,4508,54,0.011978704525288377,0.037676686208302286,0.6800545493854878,0.035856573705179286,0.16666666666666666,0.05567879325643301,0.04017857142857143,0.16666666666666666,0.3317212882596001,,33,no_excitation
logistic,all_test,5640,150,0.026595744680851064,0.15926846577621587,0.7370491803278689,0.12026726057906459,0.36,0.07960992907801419,0.15357142857142858,0.2866666666666667,0.5096467481016838,0.026908487630984947,44,no_excitation
logistic,pre_shift,957,15,0.01567398119122257,0.8565467086519718,0.9953998584571833,0.2542372881355932,1.0,0.06165099268547544,0.28846153846153844,1.0,1.0,0.005587302979276115,44,no_excitation
logistic,post_shift,4683,135,0.028827674567584883,0.10039702922884272,0.6984608619173264,0.1,0.28888888888888886,0.08327994875080078,0.12280701754385964,0.2074074074074074,0.2931385016028692,0.03126560352073198,44,no_excitation
