scenario,model,period,metric,n_seeds,mean,standard_error,ci95_low,ci95_high
no_memory,boosting_static,pre_shift,precision_at_daily_budget,5,0.28476393701076097,0.0518100526866074,0.14091616982899008,0.42861170419253186
no_memory,boosting_static,pre_shift,recall_at_daily_budget,5,0.6687460815047022,0.051994534040141135,0.5243861119719122,0.8131060510374921
no_memory,isolation_forest,all_test,average_precision,5,0.0787068163267701,0.016695075786595816,0.03235385487816994,0.12505977777537025
no_memory,isolation_forest,all_test,precision_at_daily_budget,5,0.095,0.022349268353088595,0.03294848327631522,0.15705151672368478
no_memory,isolation_forest,all_test,recall_at_daily_budget,5,0.19083244735418647,0.03957964628503376,0.08094173216064447,0.30072316254772846
no_memory,isolation_forest,post_shift,average_precision,5,0.05276987903677001,0.011782510134245737,0.020056386447600036,0.08548337162593998
no_memory,isolation_forest,post_shift,precision_at_daily_budget,5,0.0741663061790768,0.023484522592496455,0.008962818379233017,0.13936979397892058
no_memory,isolation_forest,post_shift,recall_at_daily_budget,5,0.13775235845313208,0.02739895624029203,0.06168066051224473,0.2138240563940194
no_memory,isolation_forest,pre_shift,average_precision,5,0.29250553686635417,0.12269557988277971,-0.04815200532859443,0.6331630790613028
no_memory,isolation_forest,pre_shift,precision_at_daily_budget,5,0.18217017783055517,0.06669095650042202,-0.0029936019060005092,0.36733395756711085
no_memory,isolation_forest,pre_shift,recall_at_daily_budget,5,0.38689655172413795,0.14181765519360964,-0.006852382868787976,0.7806454863170639
no_memory,logistic,all_test,average_precision,5,0.15833849856971274,0.032546067827707865,0.06797612785603786,0.24870086928338764
no_memory,logistic,all_test,precision_at_daily_budget,5,0.15928571428571428,0.029202844423942324,0.07820561982700694,0.24036580874442162
no_memory,logistic,all_test,recall_at_daily_budget,5,0.31888907541081457,0.031656898902605195,0.23099543340693499,0.4067827174146942
no_memory,logistic,post_shift,average_precision,5,0.10322960988846172,0.018591315465460192,0.051611843065196734,0.15484737671172671
no_memory,logistic,post_shift,precision_at_daily_budget,5,0.12498579966186256,0.029349915143944572,0.043497371422487066,0.20647422790123804
no_memory,logistic,post_shift,recall_at_daily_budget,5,0.23876164671882488,0.019049876560844926,0.1858707101868448,0.29165258325080495
no_memory,logistic,pre_shift,average_precision,5,0.5560629047060553,0.09130198121097867,0.30256796587797274,0.809557843534138
no_memory,logistic,pre_shift,precision_at_daily_budget,5,0.30891779429515276,0.06473918655046915,0.12917299668261586,0.4886625919076897
no_memory,logistic,pre_shift,recall_at_daily_budget,5,0.6997993730407523,0.07099671239473794,0.5026808984272467,0.896917847654258
no_shift,behaviour_rule,all_test,average_precision,5,0.5217902848597247,0.024316193790138427,0.45427770763405384,0.5893028620853955
no_shift,behaviour_rule,all_test,precision_at_daily_budget,5,0.2671428571428571,0.038488667826003124,0.16028118375176698,0.3740045305339473
no_shift,behaviour_rule,all_test,recall_at_daily_budget,5,0.671446418471112,0.023040361008556467,0.6074761209269153,0.7354167160153087
no_shift,behaviour_rule,post_shift,average_precision,5,0.5014278198904659,0.03385275615012587,0.40743750077999447,0.5954181390009374
